, Force (Kg f), Power (W)
0,-4.069476226666667,388.7733333333333
1,-4.05057656,388.8
2,-4.023361039999999,380.48
3,-3.96439408,372.0
4,-3.9008912,362.24
5,-3.8691397599999995,353.12
6,-3.82378056,343.36
7,-3.8011009600000003,335.68
8,-3.75120584,327.04
9,-3.7149184799999997,318.4
10,-3.6559515200000003,309.12
11,-3.58791272,299.84
12,-3.5198739199999998,289.76
13,-3.45183512,280.48
14,-3.3974040800000003,272.0
15,-3.3112216,263.2
16,-3.25225464,255.36
17,-3.20235952,247.68
18,-3.1071052,239.68
19,-3.0390664,230.88
20,-2.9937072,224.64
21,-2.9392761600000004,216.8
22,-2.8621655199999996,209.6
23,-2.82134224,203.84
24,-2.77144712,196.8
25,-2.70794424,190.88
26,-2.6580491200000003,185.44
27,-2.5809384800000004,179.2
28,-2.54918704,172.8
29,-2.50836376,168.0
30,-2.45393272,164.32
31,-2.381358,158.4
32,-2.35414248,152.0
33,-2.27703184,147.2
34,-2.2362085599999997,142.4
35,-2.19538528,137.6
36,-2.11827464,131.2
37,-2.08198728,126.4
38,-2.02302032,121.12
39,-1.97766112,115.04
40,-1.94137376,110.24
41,-1.8597271999999998,104.48
42,-1.814368,100.64
43,-1.76447288,96.0
44,-1.7009699999999999,92.0
45,-1.66921856,88.0
46,-1.6102516,84.8
47,-1.5558205600000001,80.0
48,-1.51499728,76.8
49,-1.4877817599999998,73.6
50,-1.4378866399999999,70.4
51,-1.39706336,67.2
52,-1.34716824,63.68
53,-1.30180904,59.2
54,-1.25644984,57.28
55,-1.2020188,54.24
56,-1.16119552,51.2
57,-1.12037224,48.0
58,-1.1022285600000001,45.44
59,-1.05233344,43.2
60,-1.020582,38.4
61,-0.9797587200000001,36.8
62,-0.94347136,33.6
63,-0.90264808,32.0
64,-0.87089664,30.4
65,-0.82100152,27.2
66,-0.7847141599999999,25.6
67,-0.7438908799999999,24.0
68,-0.71667536,22.4
69,-0.680388,20.8
70,-0.6486365599999999,19.2
71,-0.6168851200000001,17.6
72,-0.58059776,16.0
73,-0.53977448,14.4
74,-0.5125589599999999,12.8
75,-0.48080752000000004,11.2
76,-0.44452016,10.56
77,-0.41730464,8.96
78,-0.3855532,8.0
79,-0.35380176,6.4
80,-0.32205032,6.4
81,-0.2948348,5.92
82,-0.25854743999999996,4.8
83,-0.23586784,3.2
84,-0.20865232,3.2
85,-0.1814368,3.2
86,-0.14968536000000002,1.6
87,-0.12700576000000002,1.6
88,-0.10432616,1.6
89,-0.08618248,0.8
90,-0.0680388,0.8
91,-0.04989512,0.8
92,-0.03628736,0.8
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.040823279999999997,0.8
109,0.05443104000000001,0.8
110,0.07711064000000001,0.8
111,0.09979024,0.8
112,0.12700576,1.6
113,0.15422128,1.6
114,0.18143679999999998,1.6
115,0.21772416,3.2
116,0.24947559999999996,3.2
117,0.29029888,3.2
118,0.32205032,4.8
119,0.35833768,6.4
120,0.39916096,6.4
121,0.43544832,8.0
122,0.47173568,8.0
123,0.5125589599999999,9.6
124,0.5579181599999999,11.2
125,0.60327736,12.8
126,0.63956472,12.8
127,0.680388,14.4
128,0.72121128,16.0
129,0.77564232,17.6
130,0.8164656,19.2
131,0.87089664,20.8
132,0.907184,23.2
133,0.9480072799999999,24.0
134,0.9933664799999999,25.6
135,1.0341897599999998,28.8
136,1.09769264,32.0
137,1.14305184,33.6
138,1.18387512,35.2
139,1.23830616,38.4
140,1.27912944,41.6
141,1.3290245600000001,44.8
142,1.38799152,46.4
143,1.4378866399999999,49.6
144,1.48324584,52.8
145,1.53767688,56.0
146,1.587572,59.2
147,1.6510748800000001,62.4
148,1.69189816,65.6
149,1.7599369599999999,68.8
150,1.8234398400000003,73.28
151,1.8778708800000001,75.2
152,1.9323019200000002,80.0
153,1.9912688800000002,83.2
154,2.04569992,86.72
155,2.1228105600000005,91.04
156,2.1772416000000003,94.4
157,2.21806488,99.04
158,2.2770318400000003,102.4
159,2.381358,107.2
160,2.43125312,112.0
161,2.5174356,118.4
162,2.5764025600000005,123.2
163,2.6535132000000003,128.64
164,2.7306238400000002,134.4
165,2.75783936,139.2
166,2.8394859200000004,144.48
167,2.88938104,149.44
168,2.97556352,155.04
169,3.05267416,160.16
170,3.1071052000000003,166.4
171,3.17060808,170.88
172,3.21596728,174.4
173,3.3021497600000003,180.8
174,3.3747244800000002,186.24
175,3.42008368,190.88
176,3.51080208,198.08
177,3.6060564,204.64
178,3.6831670400000003,210.24
179,3.73759808,216.64
180,3.81924464,223.84
181,3.88728344,231.36
182,3.95532224,237.76
183,4.0596484,246.4
184,4.14583088,253.76
185,4.254692960000001,262.56
186,4.30458808,271.52
187,4.38169872,278.72
188,4.5087044800000005,288.0
189,4.52684816,296.0
190,4.649318,306.08
191,4.70828496,313.44
192,4.7853956,322.4
193,4.83529072,330.72
194,4.93054504,338.08
195,5.0121916,348.8
196,5.07569448,358.08
197,5.14373328,364.96
198,5.17548472,372.48
199,5.22084392,382.4
200,5.245035493333333,381.28
